PipelineID;Pipeline;train_set;validation_set;fit_time_cv1;fit_time_cv2;fit_time_cv3;fit_time_cv4;fit_time_cv5;fit_time_mean;score_time_cv1;score_time_cv2;score_time_cv3;score_time_cv4;score_time_cv5;score_time_mean;test_acc_cv1;test_acc_cv2;test_acc_cv3;test_acc_cv4;test_acc_cv5;test_acc_mean;test_prec_cv1;test_prec_cv2;test_prec_cv3;test_prec_cv4;test_prec_cv5;test_prec_mean;test_recall_cv1;test_recall_cv2;test_recall_cv3;test_recall_cv4;test_recall_cv5;test_recall_mean;test_f1-score_cv1;test_f1-score_cv2;test_f1-score_cv3;test_f1-score_cv4;test_f1-score_cv5;test_f1-score_mean;test_tp_cv1;test_tp_cv2;test_tp_cv3;test_tp_cv4;test_tp_cv5;test_tp_mean;test_tn_cv1;test_tn_cv2;test_tn_cv3;test_tn_cv4;test_tn_cv5;test_tn_mean;test_fp_cv1;test_fp_cv2;test_fp_cv3;test_fp_cv4;test_fp_cv5;test_fp_mean;test_fn_cv1;test_fn_cv2;test_fn_cv3;test_fn_cv4;test_fn_cv5;test_fn_mean
Reinforcement Learning;LR_Count_Vectors_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;data/train_test_data/readme_negative_samples_preprocessed_test.csv;1.7144062519073486;1.6942403316497803;1.2476305961608887;1.1793978214263916;1.2465205192565918;1.4164391040802002;0.07216215133666992;0.07573795318603516;0.047364234924316406;0.08751630783081055;0.07495951652526855;0.07154803276062012;0.9747899159663865;0.9747899159663865;0.9661016949152542;0.9745762711864406;0.940677966101695;0.9661871528272326;1.0;0.984375;1.0;1.0;0.967741935483871;0.9904233870967742;0.9538461538461539;0.9692307692307692;0.9375;0.9538461538461539;0.9230769230769231;0.9475000000000001;0.9763779527559054;0.9767441860465116;0.967741935483871;0.9763779527559054;0.9448818897637796;0.9684247833611946;62;63;60;62;60;61.4;54;53;54;53;51;53.0;0;1;0;0;2;0.6;3;2;4;3;5;3.4
Reinforcement Learning;LR_TFIDF_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;data/train_test_data/readme_negative_samples_preprocessed_test.csv;0.8008558750152588;1.0612103939056396;0.8264403343200684;0.7112247943878174;1.0919983386993408;0.898345947265625;0.05190157890319824;0.047736406326293945;0.047789573669433594;0.06693315505981445;0.03419208526611328;0.049710559844970706;0.9915966386554622;0.9915966386554622;0.9745762711864406;0.9830508474576272;0.9830508474576272;0.984774248682524;1.0;0.9848484848484849;0.9841269841269841;1.0;0.9701492537313433;0.9878249445413625;0.9846153846153847;1.0;0.96875;0.9692307692307692;1.0;0.9845192307692308;0.9922480620155039;0.9923664122137404;0.9763779527559054;0.9843749999999999;0.9848484848484849;0.986043182366727;64;65;62;63;65;63.8;54;53;53;53;51;52.8;0;1;1;0;2;0.8;1;0;2;2;0;1.0
Reinforcement Learning;SVC_Count_Vectors_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;data/train_test_data/readme_negative_samples_preprocessed_test.csv;2.996788740158081;2.2330501079559326;2.3510208129882812;2.140803098678589;3.047423839569092;2.553817319869995;0.10770106315612793;0.12723374366760254;0.10917901992797852;0.14592647552490234;0.10564231872558594;0.11913652420043945;0.5630252100840336;0.5882352941176471;0.559322033898305;0.6101694915254238;0.5847457627118644;0.5810995584674548;0.5565217391304348;0.5740740740740741;0.5535714285714286;0.5904761904761905;0.5714285714285714;0.5692144007361399;0.9846153846153847;0.9538461538461539;0.96875;0.9538461538461539;0.9846153846153847;0.9691346153846154;0.7111111111111111;0.7167630057803468;0.7045454545454546;0.7294117647058824;0.7231638418079096;0.7169990355901409;64;62;62;62;64;62.8;3;8;4;10;5;6.0;51;46;50;43;48;47.6;1;3;2;3;1;2.0
Reinforcement Learning;SVC_TFIDF_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;data/train_test_data/readme_negative_samples_preprocessed_test.csv;2.4260807037353516;2.9822537899017334;2.3228137493133545;2.876636505126953;2.386603832244873;2.598877716064453;0.11388540267944336;0.11054611206054688;0.11717939376831055;0.12292170524597168;0.12083578109741211;0.11707367897033691;0.6722689075630253;0.7647058823529411;0.5677966101694916;0.6186440677966102;0.652542372881356;0.6551915681526849;0.76;0.9111111111111111;0.6274509803921569;0.631578947368421;0.7;0.7260282077743379;0.5846153846153846;0.6307692307692307;0.5;0.7384615384615385;0.6461538461538462;0.62;0.6608695652173914;0.7454545454545455;0.5565217391304348;0.6808510638297872;0.6719999999999999;0.6631393827264318;38;41;32;48;42;40.2;42;50;35;25;35;37.4;12;4;19;28;18;16.2;27;24;32;17;23;24.6
Reinforcement Learning;KNN_Count_Vectors_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;data/train_test_data/readme_negative_samples_preprocessed_test.csv;0.5771791934967041;0.6309137344360352;0.5570418834686279;0.3445405960083008;0.6380493640899658;0.5495449542999268;0.054345130920410156;0.06211113929748535;0.054480552673339844;0.0759422779083252;0.045623064041137695;0.05850043296813965;0.8403361344537815;0.7058823529411765;0.6440677966101694;0.864406779661017;0.788135593220339;0.7685657313772967;0.9791666666666666;0.65;0.6037735849056604;0.9152542372881356;0.7380952380952381;0.7772579453911401;0.7230769230769231;1.0;1.0;0.8307692307692308;0.9538461538461539;0.9015384615384615;0.831858407079646;0.787878787878788;0.7529411764705882;0.870967741935484;0.832214765100671;0.8151721756930355;47;65;64;54;62;58.4;53;19;12;48;31;32.6;1;35;42;5;22;21.0;18;0;0;11;3;6.4
Reinforcement Learning;KNN_TFIDF_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;data/train_test_data/readme_negative_samples_preprocessed_test.csv;0.43471741676330566;0.5978720188140869;0.40236806869506836;0.5902552604675293;0.42728161811828613;0.49049887657165525;0.05822610855102539;0.050603628158569336;0.05401945114135742;0.058110952377319336;0.05184650421142578;0.05456132888793945;0.9411764705882353;0.9159663865546218;0.9491525423728814;0.9576271186440678;0.940677966101695;0.9409200968523003;0.9142857142857143;0.8666666666666667;0.9264705882352942;0.9411764705882353;0.9027777777777778;0.9102754435107376;0.9846153846153847;1.0;0.984375;0.9846153846153847;1.0;0.9907211538461539;0.9481481481481482;0.9285714285714286;0.9545454545454545;0.962406015037594;0.9489051094890512;0.9485152311583352;64;65;63;64;65;64.2;48;44;49;49;46;47.2;6;10;5;4;7;6.4;1;0;1;1;0;0.6
Reinforcement Learning;RandomForestClassifier_Count_Vectors_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;data/train_test_data/readme_negative_samples_preprocessed_test.csv;0.9680740833282471;1.0973052978515625;0.7675576210021973;0.9335803985595703;1.0876619815826416;0.9708358764648437;0.08809232711791992;0.0698709487915039;0.08280038833618164;0.12244868278503418;0.05862236022949219;0.08436694145202636;0.9495798319327731;0.9915966386554622;0.9576271186440678;0.9576271186440678;0.9491525423728814;0.9611166500498504;1.0;1.0;1.0;1.0;0.9836065573770492;0.9967213114754099;0.9076923076923077;0.9846153846153847;0.921875;0.9230769230769231;0.9230769230769231;0.9320673076923077;0.9516129032258065;0.9922480620155039;0.959349593495935;0.9600000000000001;0.9523809523809524;0.9631183022236396;59;64;59;60;60;60.4;54;54;54;53;52;53.4;0;0;0;0;1;0.2;6;1;5;5;5;4.4
Reinforcement Learning;RandomForestClassifier_TFIDF_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;data/train_test_data/readme_negative_samples_preprocessed_test.csv;0.8454456329345703;1.0381662845611572;1.0439879894256592;0.7431886196136475;0.833122968673706;0.900782299041748;0.09695935249328613;0.06979632377624512;0.05951070785522461;0.11912894248962402;0.09554409980773926;0.08818788528442383;0.9663865546218487;0.9663865546218487;0.9491525423728814;0.9661016949152542;0.9491525423728814;0.9594359777809428;1.0;0.9841269841269841;1.0;1.0;0.9836065573770492;0.9935467083008067;0.9384615384615385;0.9538461538461539;0.90625;0.9384615384615385;0.9230769230769231;0.9320192307692308;0.9682539682539683;0.96875;0.9508196721311475;0.9682539682539683;0.9523809523809524;0.9616917122040073;61;62;58;61;60;60.4;54;53;54;53;52;53.2;0;1;0;0;1;0.4;4;3;6;4;5;4.4
Reinforcement Learning;Linear_SVC_Count_Vectors_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;data/train_test_data/readme_negative_samples_preprocessed_test.csv;0.5133380889892578;0.6997847557067871;0.535599946975708;0.7023458480834961;0.5057191848754883;0.5913575649261474;0.03846478462219238;0.03975200653076172;0.0372622013092041;0.04880666732788086;0.03840041160583496;0.0405372142791748;0.957983193277311;0.9747899159663865;0.9576271186440678;0.9576271186440678;0.9322033898305084;0.9560461472724683;1.0;0.984375;1.0;0.9838709677419355;0.9672131147540983;0.9870918164992067;0.9230769230769231;0.9692307692307692;0.921875;0.9384615384615385;0.9076923076923077;0.9320673076923077;0.9600000000000001;0.9767441860465116;0.959349593495935;0.9606299212598426;0.9365079365079365;0.9586463274620451;60;63;59;61;59;60.4;54;53;54;52;51;52.8;0;1;0;1;2;0.8;5;2;5;4;6;4.4
Reinforcement Learning;Linear_SVC_TFIDF_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;data/train_test_data/readme_negative_samples_preprocessed_test.csv;0.7134902477264404;0.5049583911895752;0.46893835067749023;0.6628584861755371;0.47620630264282227;0.5652903556823731;0.03864264488220215;0.05385327339172363;0.04036855697631836;0.05350160598754883;0.04020214080810547;0.04531364440917969;0.9831932773109243;0.9915966386554622;0.9830508474576272;0.9745762711864406;0.9830508474576272;0.9830935764136164;1.0;0.9848484848484849;1.0;1.0;0.9846153846153847;0.9938927738927739;0.9692307692307692;1.0;0.96875;0.9538461538461539;0.9846153846153847;0.9752884615384616;0.9843749999999999;0.9923664122137404;0.9841269841269841;0.9763779527559054;0.9846153846153847;0.9843723467424029;63;65;62;62;64;63.2;54;53;54;53;52;53.2;0;1;0;0;1;0.4;2;0;2;3;1;1.6
